ReturnID,OrderID,ReturnDate,ProductID,CustomerID,ReturnReason,RefundAmount,Resolution
700056,500712,2025-09-15,1021,22029,Quality issue,442.28,Replaced
700057,500738,2026-01-07,1011,20396,Wrong item,625.72,Refunded
700058,500745,2024-05-03,1012,21431,Late delivery,114.41,Refunded
700059,500748,2025-06-01,1035,22374,Wrong item,122.03,Replaced
700060,500756,2025-04-01,1021,20041,Changed mind,1311.83,Refunded
700061,500759,2023-08-14,1023,22267,Damaged,201.03,Replaced
700062,500772,2023-08-25,1008,21664,Damaged,455.21,Refunded
700063,500777,2023-05-27,1012,21445,Damaged,125.7,Replaced
700064,500781,2025-03-02,1017,21762,Quality issue,341.23,Refunded
700065,500800,2025-09-01,1012,21992,Changed mind,239.1,Refunded
700066,500811,2025-06-06,1012,20095,Wrong item,136.97,Refunded
700067,500813,2024-07-28,1037,20409,Quality issue,1470.93,Refunded
700068,500815,2025-05-11,1012,20839,Wrong item,119.33,Refunded
700069,500816,2023-08-11,1040,22186,Wrong item,111.34,Replaced
700070,500819,2023-10-23,1037,21367,Wrong item,277.57,Refunded
700071,500830,2023-07-15,1008,22313,Quality issue,492.39,Refunded
700072,500841,2023-02-19,1017,20775,Late delivery,209.11,Replaced
700073,500845,2025-08-26,1023,20932,Damaged,35.34,Refunded
700074,500847,2023-02-10,1026,21175,Wrong item,296.3,Refunded
700075,500869,2025-01-23,1008,20039,Quality issue,241.55,Replaced
700076,500877,2025-01-18,1006,20582,Wrong item,214.1,Refunded
700077,500886,2025-02-14,1028,21148,Late delivery,206.75,Replaced
700078,500903,2023-03-01,1006,20885,Wrong item,143.36,Replaced
700079,500909,2024-10-13,1014,21458,Quality issue,95.83,Refunded
700080,500935,2025-04-07,1029,20698,Changed mind,64.67,Refunded
700081,500954,2023-06-03,1020,21507,Late delivery,963.81,Refunded
700082,500959,2023-02-20,1029,22097,Wrong item,80.0,Refunded
700083,500960,2024-10-08,1033,20693,Changed mind,264.96,Refunded
700084,500962,2025-04-21,1014,21601,Quality issue,53.1,Refunded
700085,501011,2025-03-01,1028,21158,Quality issue,558.79,Replaced
700086,501023,2023-09-18,1014,20045,Wrong item,214.68,Replaced
700087,501031,2023-10-05,1023,20806,Damaged,45.98,Refunded
700088,501037,2025-09-08,1012,20202,Damaged,413.88,Refunded
700089,501041,2026-01-15,1010,21386,Quality issue,247.66,Refunded
700090,501046,2025-10-20,1030,21841,Late delivery,73.78,Replaced
700091,501067,2026-01-08,1002,21745,Late delivery,256.97,Replaced
700092,501071,2023-11-18,1018,22275,Changed mind,305.98,Replaced
700093,501076,2023-09-08,1005,21265,Wrong item,818.35,Replaced
700094,501118,2023-12-19,1032,20749,Quality issue,526.26,Refunded
700095,501143,2024-05-01,1018,21328,Damaged,128.02,Refunded
700096,501169,2024-08-01,1034,22133,Damaged,95.59,Replaced
700097,501173,2025-11-30,1012,21725,Late delivery,117.55,Refunded
700098,501179,2025-01-17,1036,22005,Damaged,81.05,Replaced
700099,501184,2024-11-10,1036,21360,Changed mind,154.48,Refunded
700100,501199,2024-06-06,1024,20867,Quality issue,54.38,Replaced
700101,501209,2025-12-10,1027,21506,Wrong item,108.45,Replaced
700102,501219,2024-03-23,1018,21055,Wrong item,137.0,Replaced
700103,501246,2025-09-17,1025,22065,Changed mind,204.66,Replaced
700104,501253,2024-11-18,1007,20153,Changed mind,89.88,Refunded
700105,501261,2025-06-08,1025,20890,Quality issue,241.7,Refunded
700106,501279,2024-02-16,1008,20074,Wrong item,232.93,Refunded
700107,501282,2025-03-26,1009,21735,Changed mind,84.98,Refunded
700108,501290,2024-10-03,1004,21308,Wrong item,295.84,Refunded
700109,501336,2023-11-03,1008,22433,Damaged,228.78,Refunded
700110,501363,2023-06-01,1013,20112,Wrong item,306.19,Replaced
700111,501382,2024-05-19,1036,21668,Wrong item,89.46,Replaced
700112,501384,2025-10-07,1023,21883,Late delivery,42.52,Replaced
700113,501400,2023-02-26,1009,21528,Wrong item,202.64,Refunded
700114,501404,2024-01-09,1030,21070,Wrong item,86.48,Refunded
700115,501406,2025-10-27,1020,21963,Quality issue,296.64,Replaced
700116,501442,2024-11-28,1011,22457,Changed mind,544.14,Replaced
700117,501459,2024-05-17,1022,22120,Changed mind,91.15,Replaced
700118,501468,2025-12-25,1008,21076,Late delivery,184.98,Replaced
700119,501478,2025-05-13,1005,21809,Wrong item,161.89,Replaced
700120,501490,2025-09-26,1027,20270,Damaged,104.78,Refunded
700121,501493,2025-10-12,1015,20064,Damaged,662.56,Replaced
700122,501495,2024-05-27,1039,20275,Damaged,638.73,Refunded
700123,501506,2025-07-08,1008,20890,Quality issue,231.33,Replaced
700124,501534,2023-01-21,1024,20392,Changed mind,36.97,Refunded
700125,501535,2023-04-15,1036,20489,Quality issue,96.17,Refunded
700126,501551,2024-09-30,1016,21905,Damaged,570.2,Replaced
700127,501553,2023-05-03,1012,21164,Late delivery,297.12,Replaced
700128,501559,2023-10-18,1007,21338,Changed mind,30.72,Refunded
700129,501567,2024-09-29,1014,20778,Late delivery,223.44,Refunded
700130,501580,2023-11-14,1007,20052,Changed mind,27.22,Refunded
700131,501585,2024-02-10,1007,21472,Wrong item,26.74,Refunded
700132,501620,2023-07-29,1026,22216,Late delivery,152.84,Refunded
700133,501635,2024-07-05,1016,21599,Wrong item,246.54,Replaced
700134,501651,2024-06-27,1018,21532,Quality issue,136.72,Replaced
700135,501669,2023-08-12,1017,22237,Late delivery,186.39,Replaced
700136,501695,2023-12-12,1010,22243,Wrong item,256.26,Refunded
700137,501696,2024-09-08,1027,21060,Late delivery,245.31,Refunded
700138,501705,2023-07-11,1039,22363,Late delivery,326.6,Refunded
700139,501714,2024-05-03,1028,21820,Changed mind,202.82,Refunded
700140,501728,2024-04-05,1001,21704,Quality issue,190.27,Replaced
700141,501744,2024-12-11,1012,21742,Changed mind,363.78,Replaced
700142,501753,2024-10-28,1004,20846,Wrong item,293.89,Replaced
700143,501781,2023-10-10,1014,21016,Quality issue,46.39,Refunded
700144,501783,2026-01-19,1019,22011,Late delivery,532.85,Replaced
700145,501818,2025-01-11,1005,21882,Wrong item,492.77,Replaced
700146,501828,2025-10-02,1008,21508,Changed mind,241.11,Refunded
700147,501832,2023-01-23,1038,22226,Wrong item,185.58,Refunded
700148,501859,2024-11-25,1008,20725,Damaged,193.17,Replaced
700149,501871,2024-03-02,1037,21145,Wrong item,265.99,Refunded
700150,501880,2025-11-03,1017,20419,Damaged,414.65,Replaced
700151,501894,2024-08-07,1015,21058,Quality issue,316.49,Replaced
700152,501905,2023-03-26,1019,21970,Damaged,1104.14,Replaced
700153,501913,2025-12-25,1026,20895,Late delivery,119.38,Replaced
700154,501917,2025-01-17,1028,22402,Quality issue,226.09,Refunded
700155,501961,2024-07-10,1003,21095,Changed mind,524.41,Replaced
700156,501990,2024-03-03,1006,22447,Wrong item,100.16,Refunded
700157,501998,2024-11-22,1006,21022,Late delivery,98.5,Refunded
700158,502013,2023-08-01,1019,20464,Late delivery,324.06,Replaced
700159,502022,2025-05-17,1031,21356,Wrong item,289.42,Replaced
700160,502026,2023-05-11,1037,20012,Wrong item,540.8,Replaced
700161,502033,2024-11-25,1013,22339,Late delivery,258.31,Refunded
700162,502035,2023-03-16,1025,20528,Wrong item,194.71,Refunded
700163,502106,2024-10-01,1017,22030,Changed mind,225.25,Refunded
700164,502112,2025-11-12,1033,21679,Late delivery,334.03,Refunded
700165,502155,2025-12-17,1039,20885,Wrong item,1112.63,Refunded
700166,502181,2024-07-10,1029,22467,Late delivery,63.62,Replaced
700167,502188,2023-12-17,1021,20503,Changed mind,596.58,Replaced
700168,502192,2025-02-24,1028,21941,Changed mind,267.98,Refunded
700169,502194,2023-10-07,1036,22431,Quality issue,86.96,Refunded
700170,502195,2025-05-25,1011,22488,Late delivery,241.82,Replaced
700171,502197,2024-02-06,1016,22322,Changed mind,292.26,Replaced
700172,502220,2025-08-28,1019,20359,Late delivery,286.66,Replaced
700173,502222,2024-03-28,1037,20657,Wrong item,250.3,Replaced
700174,502224,2025-09-17,1004,20436,Late delivery,576.15,Refunded
700175,502247,2023-06-15,1014,20554,Wrong item,86.31,Refunded
700176,502250,2023-05-03,1016,20752,Wrong item,250.6,Replaced
700177,502254,2025-08-31,1036,20240,Wrong item,77.18,Refunded
700178,502255,2024-03-18,1037,21160,Quality issue,356.62,Refunded
700179,502261,2024-12-05,1002,20855,Damaged,105.33,Replaced
700180,502273,2024-10-13,1005,21357,Changed mind,160.34,Replaced
700181,502287,2024-03-10,1014,21324,Changed mind,103.06,Replaced
700182,502328,2025-05-30,1036,21171,Changed mind,65.47,Replaced
700183,502334,2025-09-10,1039,22000,Wrong item,287.43,Refunded
700184,502336,2025-10-28,1018,20989,Quality issue,153.98,Refunded
700185,502348,2023-02-12,1024,22147,Changed mind,52.81,Refunded
700186,502349,2025-01-19,1030,22009,Changed mind,76.96,Refunded
700187,502367,2025-01-30,1013,22422,Damaged,700.18,Replaced
700188,502368,2024-05-14,1003,21679,Wrong item,1543.36,Refunded
700189,502369,2023-08-16,1011,20274,Late delivery,210.54,Replaced
700190,502378,2023-03-17,1039,22272,Wrong item,565.93,Refunded
700191,502380,2023-04-03,1023,20805,Changed mind,48.34,Refunded
700192,502393,2024-05-05,1023,22226,Quality issue,39.07,Refunded
700193,502399,2025-03-07,1030,22376,Quality issue,142.53,Replaced
700194,502407,2024-08-28,1020,20862,Changed mind,567.57,Refunded
700195,502442,2025-10-24,1030,21248,Quality issue,74.33,Refunded
700196,502453,2023-02-17,1008,22020,Changed mind,340.01,Replaced
700197,502460,2023-08-18,1019,21948,Damaged,1071.83,Refunded
700198,502480,2023-08-11,1007,20010,Quality issue,60.76,Replaced
700199,502483,2025-12-04,1035,20172,Damaged,121.76,Refunded
700200,502503,2023-04-18,1028,21739,Damaged,239.55,Refunded
700201,502519,2023-04-22,1026,22315,Changed mind,242.74,Replaced
700202,502532,2023-08-20,1026,22348,Damaged,303.26,Replaced
700203,502533,2025-04-08,1014,21643,Damaged,49.6,Refunded
700204,502552,2024-06-02,1021,21181,Wrong item,280.43,Refunded
700205,502582,2025-09-30,1019,22064,Damaged,285.81,Replaced
700206,502584,2025-01-24,1028,21567,Changed mind,224.7,Replaced
700207,502585,2023-04-02,1038,22269,Late delivery,191.14,Replaced
700208,502623,2025-08-15,1018,20339,Late delivery,111.32,Refunded
700209,502629,2025-06-24,1026,20888,Changed mind,117.81,Replaced
700210,502634,2023-06-27,1018,21589,Wrong item,526.63,Refunded
700211,502645,2024-03-08,1005,21818,Late delivery,503.95,Replaced
700212,502680,2023-08-22,1036,21738,Quality issue,82.77,Replaced
700213,502684,2024-11-09,1034,22080,Wrong item,199.44,Refunded
700214,502686,2025-01-21,1030,20898,Damaged,72.25,Replaced
700215,502690,2023-03-04,1007,21697,Damaged,84.62,Replaced
700216,502696,2025-02-04,1024,20348,Late delivery,171.61,Replaced
700217,502711,2024-06-23,1016,21660,Wrong item,260.87,Replaced
700218,502737,2024-01-31,1031,21838,Changed mind,603.13,Refunded
700219,502761,2025-05-25,1027,20725,Quality issue,466.78,Refunded
700220,502770,2025-08-18,1038,21602,Late delivery,413.31,Refunded
700221,502781,2023-10-13,1034,22002,Damaged,91.32,Refunded
700222,502806,2024-07-23,1001,22289,Changed mind,228.38,Refunded
700223,502820,2024-01-29,1027,22307,Wrong item,109.9,Refunded
700224,502830,2023-05-23,1013,21311,Changed mind,733.84,Replaced
700225,502870,2024-12-02,1030,20903,Quality issue,108.75,Replaced
700226,502883,2023-04-14,1028,21245,Quality issue,234.42,Replaced
700227,502892,2025-04-18,1014,20952,Quality issue,43.28,Refunded
700228,502895,2025-02-24,1014,20421,Wrong item,160.86,Refunded
700229,502897,2023-07-24,1037,20838,Wrong item,904.0,Refunded
700230,502898,2025-06-08,1021,21061,Quality issue,215.25,Replaced
700231,502911,2024-02-15,1024,20052,Late delivery,113.16,Refunded
700232,502913,2026-01-06,1006,20281,Late delivery,188.74,Replaced
700233,502915,2025-10-20,1027,22031,Wrong item,105.21,Replaced
700234,502927,2025-06-11,1021,20541,Changed mind,817.82,Replaced
700235,502935,2024-12-25,1039,20431,Damaged,357.95,Refunded
700236,502938,2025-10-28,1001,20675,Late delivery,984.82,Replaced
700237,502948,2023-08-28,1035,20108,Late delivery,584.86,Replaced
700238,502965,2024-09-05,1013,20308,Changed mind,912.38,Refunded
700239,502973,2025-08-12,1010,20548,Quality issue,1612.63,Refunded
700240,502983,2025-12-07,1007,21698,Late delivery,79.16,Refunded
700241,503006,2023-04-28,1008,22240,Wrong item,276.09,Replaced
700242,503016,2025-10-02,1028,22123,Quality issue,209.43,Refunded
700243,503054,2025-11-17,1023,21832,Wrong item,37.7,Replaced
700244,503063,2023-10-29,1009,20870,Damaged,92.26,Refunded
700245,503069,2024-02-07,1014,21084,Late delivery,119.75,Replaced
700246,503081,2024-06-10,1002,21968,Damaged,101.68,Refunded
700247,503097,2023-09-27,1024,21050,Changed mind,171.83,Replaced
700248,503110,2023-12-11,1024,20463,Wrong item,267.62,Refunded
700249,503183,2025-01-08,1040,20689,Late delivery,179.7,Refunded
700250,503189,2024-03-24,1005,21960,Late delivery,328.68,Refunded
700251,503198,2025-06-13,1023,21823,Damaged,43.35,Refunded
700252,503202,2023-09-28,1032,20148,Changed mind,194.73,Refunded
700253,503214,2025-04-10,1036,20238,Quality issue,323.66,Refunded
700254,503216,2025-01-01,1026,20181,Damaged,152.61,Replaced
700255,503227,2023-04-08,1014,20106,Wrong item,47.19,Refunded
700256,503242,2024-03-03,1025,21040,Late delivery,1293.31,Refunded
700257,503259,2024-06-09,1029,22479,Changed mind,76.3,Replaced
700258,503291,2023-10-23,1006,22368,Damaged,323.76,Replaced
700259,503301,2024-12-08,1025,22066,Quality issue,1182.77,Refunded
700260,503304,2025-01-16,1004,20841,Changed mind,1369.46,Refunded
700261,503325,2025-09-29,1002,22057,Wrong item,198.14,Replaced
700262,503349,2023-08-27,1033,21142,Wrong item,285.47,Refunded
700263,503352,2023-08-27,1003,20112,Late delivery,445.67,Refunded
700264,503356,2024-06-20,1022,22448,Late delivery,113.72,Replaced
700265,503372,2025-05-02,1026,22140,Wrong item,152.9,Replaced
700266,503378,2024-12-27,1007,22058,Quality issue,63.3,Replaced
700267,503406,2023-02-13,1039,20480,Damaged,961.93,Replaced
700268,503417,2023-03-11,1026,22375,Changed mind,363.5,Replaced
700269,503442,2025-08-25,1013,20058,Changed mind,745.23,Refunded
700270,503480,2024-10-24,1039,20460,Wrong item,347.77,Replaced
700271,503497,2024-03-18,1007,21127,Damaged,24.29,Replaced
700272,503504,2024-03-05,1019,20769,Quality issue,636.15,Refunded
700273,503516,2024-02-27,1013,21668,Wrong item,397.62,Refunded
700274,503519,2024-08-07,1025,22025,Changed mind,211.65,Replaced
700275,503523,2024-09-05,1029,22476,Wrong item,72.22,Replaced
700276,503542,2025-03-08,1035,20293,Damaged,141.3,Refunded
700277,503544,2023-03-29,1005,20500,Late delivery,285.78,Replaced
700278,503551,2024-10-22,1033,21178,Wrong item,759.63,Refunded
700279,503577,2024-01-06,1019,20767,Changed mind,298.28,Replaced
700280,503590,2023-07-15,1021,20357,Damaged,277.17,Replaced
700281,503596,2024-05-14,1013,21776,Wrong item,343.95,Replaced
700282,503600,2024-08-21,1014,22109,Late delivery,44.44,Refunded
700283,503618,2024-05-23,1015,22486,Quality issue,557.81,Replaced
700284,503650,2023-02-19,1005,21060,Changed mind,154.96,Replaced
700285,503692,2023-04-01,1021,20782,Damaged,426.85,Replaced
700286,503697,2025-01-19,1021,21708,Changed mind,265.14,Replaced
700287,503714,2023-10-20,1028,22105,Late delivery,174.12,Refunded
700288,503719,2023-08-20,1038,21146,Late delivery,405.38,Replaced
700289,503728,2023-05-14,1004,21556,Damaged,586.71,Refunded
700290,503738,2025-02-04,1014,21173,Late delivery,78.33,Replaced
700291,503751,2024-08-23,1030,22302,Changed mind,61.29,Replaced
700292,503767,2025-03-23,1008,21597,Late delivery,234.16,Refunded
700293,503799,2023-09-12,1033,22407,Quality issue,265.62,Refunded
700294,503803,2024-07-19,1027,20457,Quality issue,482.56,Refunded
700295,503848,2023-04-27,1021,22433,Late delivery,263.58,Refunded
700296,503851,2023-04-06,1034,20584,Damaged,405.15,Replaced
700297,503854,2023-03-09,1013,21313,Late delivery,304.48,Refunded
700298,503892,2024-05-16,1018,22343,Changed mind,150.67,Replaced
700299,503898,2023-09-14,1031,22084,Wrong item,326.94,Refunded
700300,503902,2025-11-23,1030,21496,Changed mind,53.98,Replaced
700301,503931,2023-06-13,1018,22057,Wrong item,143.43,Replaced
700302,503958,2024-02-12,1013,20097,Changed mind,307.39,Refunded
700303,503967,2023-12-19,1037,21201,Wrong item,585.01,Refunded
700304,503973,2024-09-04,1025,21170,Late delivery,263.59,Replaced
700305,503988,2025-06-11,1015,20140,Late delivery,569.56,Refunded
700306,503995,2024-11-30,1021,22437,Quality issue,257.35,Refunded
700307,504003,2024-10-21,1033,20329,Quality issue,249.42,Replaced
700308,504007,2023-12-31,1025,21595,Quality issue,719.71,Replaced
700309,504017,2025-07-19,1023,22328,Changed mind,66.96,Refunded
700310,504020,2024-07-09,1012,21219,Changed mind,742.17,Refunded
700311,504025,2023-01-24,1036,20337,Wrong item,153.35,Replaced
700312,504029,2025-05-05,1024,21038,Wrong item,46.64,Refunded
700313,504031,2023-07-21,1024,20549,Damaged,86.09,Refunded
700314,504037,2025-08-09,1005,20655,Quality issue,711.1,Refunded
700315,504039,2024-05-29,1003,20308,Wrong item,225.87,Refunded
700316,504063,2025-09-16,1015,21998,Wrong item,261.52,Replaced
700317,504066,2025-12-19,1012,20719,Changed mind,116.08,Refunded
700318,504073,2024-09-03,1029,20020,Quality issue,66.97,Refunded
700319,504103,2024-10-16,1006,20732,Changed mind,330.8,Replaced
700320,504122,2023-04-15,1035,20912,Late delivery,487.62,Replaced
700321,504155,2025-08-12,1030,20855,Damaged,278.8,Replaced
700322,504159,2025-11-14,1013,21664,Changed mind,619.63,Refunded
700323,504168,2023-04-28,1023,20346,Wrong item,132.34,Refunded
700324,504173,2025-03-23,1028,21760,Quality issue,467.43,Refunded
700325,504184,2023-11-29,1019,22154,Damaged,268.81,Refunded
700326,504185,2024-07-17,1038,22426,Quality issue,694.38,Replaced
700327,504197,2024-05-10,1005,20012,Changed mind,149.73,Refunded
700328,504215,2025-03-20,1024,20199,Wrong item,46.09,Refunded
700329,504216,2025-04-16,1009,22260,Wrong item,225.94,Refunded
700330,504219,2025-06-29,1006,20564,Quality issue,80.28,Replaced
700331,504222,2025-11-19,1017,20791,Late delivery,550.4,Replaced
700332,504228,2023-02-08,1013,22281,Quality issue,313.12,Replaced
700333,504234,2023-04-10,1015,20769,Wrong item,524.38,Replaced
700334,504240,2025-09-07,1001,21870,Late delivery,191.18,Replaced
700335,504288,2024-01-15,1020,20983,Late delivery,667.08,Refunded
700336,504301,2024-10-19,1021,21418,Damaged,417.3,Refunded
700337,504309,2024-05-02,1002,21125,Damaged,207.78,Refunded
700338,504317,2024-02-22,1001,20618,Changed mind,718.71,Refunded
700339,504330,2024-06-22,1034,20966,Changed mind,92.6,Replaced
700340,504335,2024-02-17,1027,21757,Wrong item,120.67,Replaced
700341,504355,2024-04-19,1025,21537,Quality issue,215.82,Refunded
700342,504356,2025-12-11,1033,20948,Late delivery,267.36,Replaced
700343,504400,2024-10-17,1023,20199,Late delivery,88.68,Refunded
700344,504446,2023-06-16,1035,21930,Quality issue,409.15,Refunded
700345,504456,2024-12-10,1006,20465,Damaged,87.23,Replaced
700346,504465,2025-09-17,1020,21851,Wrong item,255.81,Replaced
700347,504466,2025-09-06,1005,20709,Quality issue,281.37,Replaced
700348,504487,2025-01-28,1004,21902,Wrong item,706.94,Replaced
700349,504490,2025-10-05,1025,20379,Late delivery,206.41,Refunded
700350,504516,2024-09-11,1022,20613,Quality issue,96.75,Refunded
700351,504539,2023-07-27,1007,20606,Changed mind,34.15,Refunded
700352,504540,2025-01-30,1030,21898,Late delivery,61.3,Replaced
700353,504551,2023-09-23,1018,20119,Wrong item,160.58,Refunded
700354,504562,2025-02-21,1026,22196,Quality issue,124.12,Replaced
700355,504574,2024-10-11,1020,20355,Late delivery,221.64,Refunded
700356,504578,2025-01-20,1035,22215,Quality issue,399.55,Refunded
700357,504587,2023-08-03,1026,22312,Changed mind,163.21,Refunded
700358,504591,2025-07-25,1038,21069,Quality issue,274.99,Replaced
700359,504602,2023-12-25,1001,20487,Late delivery,449.4,Replaced
700360,504618,2025-04-06,1027,20668,Damaged,242.61,Refunded
700361,504621,2024-07-31,1009,21876,Late delivery,235.55,Refunded
700362,504628,2024-09-30,1026,21673,Wrong item,116.89,Replaced
700363,504640,2024-07-21,1039,20288,Damaged,282.96,Replaced
700364,504657,2023-11-21,1033,22182,Late delivery,266.63,Replaced
700365,504670,2025-05-24,1026,20939,Wrong item,147.24,Refunded
700366,504683,2024-01-26,1033,22077,Changed mind,260.09,Replaced
700367,504685,2025-07-24,1022,21057,Late delivery,102.6,Refunded
700368,504689,2025-01-18,1010,20522,Late delivery,580.1,Refunded
700369,504702,2023-06-03,1033,20130,Damaged,610.06,Replaced
700370,504705,2025-12-13,1005,20544,Damaged,164.32,Replaced
700371,504715,2025-10-08,1012,20032,Damaged,299.42,Refunded
700372,504734,2023-06-18,1032,22208,Damaged,203.08,Refunded
700373,504748,2023-11-24,1008,20313,Quality issue,232.8,Refunded
700374,504772,2023-07-25,1034,20370,Quality issue,99.07,Replaced
700375,504784,2024-03-21,1037,22382,Late delivery,275.79,Refunded
700376,504806,2024-09-20,1040,20501,Quality issue,206.95,Refunded
700377,504816,2023-05-07,1021,20411,Changed mind,726.95,Refunded
700378,504830,2025-06-04,1001,20912,Late delivery,787.22,Refunded
700379,504843,2025-05-06,1022,21587,Wrong item,485.2,Replaced
700380,504879,2025-12-06,1033,22417,Late delivery,260.9,Refunded
700381,504886,2023-04-02,1034,21420,Damaged,88.84,Replaced
700382,504887,2023-05-23,1007,21066,Late delivery,47.1,Refunded
700383,504892,2025-04-27,1014,22101,Wrong item,51.35,Refunded
700384,504907,2025-06-13,1011,20325,Changed mind,852.27,Replaced
700385,504914,2023-09-15,1028,22165,Late delivery,203.09,Replaced
700386,504915,2024-01-20,1001,20435,Changed mind,241.69,Replaced
700387,504920,2023-05-11,1015,20385,Quality issue,290.44,Refunded
700388,504928,2023-08-17,1036,21934,Changed mind,99.51,Replaced
700389,504936,2023-03-06,1003,21342,Late delivery,280.94,Refunded
700390,504962,2025-02-22,1022,22161,Late delivery,92.34,Replaced
700391,504985,2025-12-12,1038,21837,Quality issue,410.31,Replaced
700392,504988,2025-08-27,1002,21548,Changed mind,114.6,Refunded
700393,505016,2025-11-21,1040,21339,Changed mind,469.02,Replaced
700394,505060,2023-10-10,1027,20591,Late delivery,121.32,Replaced
700395,505068,2024-11-16,1021,21192,Wrong item,256.68,Replaced
700396,505083,2024-05-21,1038,20266,Late delivery,205.75,Refunded
700397,505085,2024-09-29,1040,20440,Damaged,396.8,Refunded
700398,505090,2023-03-04,1038,21994,Quality issue,535.1,Refunded
700399,505104,2023-02-15,1040,21056,Wrong item,287.51,Replaced
700400,505114,2023-08-27,1012,21143,Changed mind,265.98,Refunded
700401,505124,2024-08-16,1035,21602,Late delivery,292.38,Refunded
700402,505143,2025-03-12,1013,20319,Late delivery,254.34,Replaced
700403,505164,2025-04-23,1032,20581,Late delivery,161.16,Refunded
700404,505167,2023-02-07,1036,21648,Late delivery,173.93,Refunded
700405,505188,2025-06-27,1033,22077,Damaged,336.78,Replaced
700406,505198,2023-01-23,1022,22374,Wrong item,168.0,Replaced
700407,505201,2025-07-23,1028,20022,Wrong item,217.56,Replaced
700408,505233,2024-06-08,1007,20895,Changed mind,92.5,Replaced
700409,505234,2023-06-18,1023,20040,Late delivery,77.81,Refunded
700410,505239,2025-04-28,1010,21712,Changed mind,245.9,Replaced
