BudgetMonth,RegionID,RevenueBudget,ProfitBudget
2024-12-01,1,295944.0,85823.76
2024-12-01,2,319308.0,92599.32
2024-12-01,3,342672.0,99374.88
2024-12-01,4,272580.0,79048.2
2024-12-01,5,295944.0,85823.76
2024-12-01,6,319308.0,92599.32
2024-12-01,7,342672.0,99374.88
2024-12-01,8,272580.0,79048.2
2024-12-01,9,295944.0,85823.76
2024-12-01,10,319308.0,92599.32
2024-12-01,11,342672.0,99374.88
2024-12-01,12,272580.0,79048.2
2025-01-01,1,257184.0,74583.36
2025-01-01,2,277488.0,80471.52
2025-01-01,3,297792.0,86359.68
2025-01-01,4,236880.0,68695.2
2025-01-01,5,257184.0,74583.36
2025-01-01,6,277488.0,80471.52
2025-01-01,7,297792.0,86359.68
2025-01-01,8,236880.0,68695.2
2025-01-01,9,257184.0,74583.36
2025-01-01,10,277488.0,80471.52
2025-01-01,11,297792.0,86359.68
2025-01-01,12,236880.0,68695.2
2025-02-01,1,257184.0,74583.36
2025-02-01,2,277488.0,80471.52
2025-02-01,3,297792.0,86359.68
2025-02-01,4,236880.0,68695.2
2025-02-01,5,257184.0,74583.36
2025-02-01,6,277488.0,80471.52
2025-02-01,7,297792.0,86359.68
2025-02-01,8,236880.0,68695.2
2025-02-01,9,257184.0,74583.36
2025-02-01,10,277488.0,80471.52
2025-02-01,11,297792.0,86359.68
2025-02-01,12,236880.0,68695.2
2025-03-01,1,273600.0,79344.0
2025-03-01,2,295200.0,85608.0
2025-03-01,3,316800.0,91872.0
2025-03-01,4,252000.0,73080.0
2025-03-01,5,273600.0,79344.0
2025-03-01,6,295200.0,85608.0
2025-03-01,7,316800.0,91872.0
2025-03-01,8,252000.0,73080.0
2025-03-01,9,273600.0,79344.0
2025-03-01,10,295200.0,85608.0
2025-03-01,11,316800.0,91872.0
2025-03-01,12,252000.0,73080.0
2025-04-01,1,273600.0,79344.0
2025-04-01,2,295200.0,85608.0
2025-04-01,3,316800.0,91872.0
2025-04-01,4,252000.0,73080.0
2025-04-01,5,273600.0,79344.0
2025-04-01,6,295200.0,85608.0
2025-04-01,7,316800.0,91872.0
2025-04-01,8,252000.0,73080.0
2025-04-01,9,273600.0,79344.0
2025-04-01,10,295200.0,85608.0
2025-04-01,11,316800.0,91872.0
2025-04-01,12,252000.0,73080.0
2025-05-01,1,295488.0,85691.52
2025-05-01,2,318816.0,92456.64
2025-05-01,3,342144.0,99221.76
2025-05-01,4,272160.0,78926.4
2025-05-01,5,295488.0,85691.52
2025-05-01,6,318816.0,92456.64
2025-05-01,7,342144.0,99221.76
2025-05-01,8,272160.0,78926.4
2025-05-01,9,295488.0,85691.52
2025-05-01,10,318816.0,92456.64
2025-05-01,11,342144.0,99221.76
2025-05-01,12,272160.0,78926.4
2025-06-01,1,295488.0,85691.52
2025-06-01,2,318816.0,92456.64
2025-06-01,3,342144.0,99221.76
2025-06-01,4,272160.0,78926.4
2025-06-01,5,295488.0,85691.52
2025-06-01,6,318816.0,92456.64
2025-06-01,7,342144.0,99221.76
2025-06-01,8,272160.0,78926.4
2025-06-01,9,295488.0,85691.52
2025-06-01,10,318816.0,92456.64
2025-06-01,11,342144.0,99221.76
2025-06-01,12,272160.0,78926.4
2025-07-01,1,295488.0,85691.52
2025-07-01,2,318816.0,92456.64
2025-07-01,3,342144.0,99221.76
2025-07-01,4,272160.0,78926.4
2025-07-01,5,295488.0,85691.52
2025-07-01,6,318816.0,92456.64
2025-07-01,7,342144.0,99221.76
2025-07-01,8,272160.0,78926.4
2025-07-01,9,295488.0,85691.52
2025-07-01,10,318816.0,92456.64
2025-07-01,11,342144.0,99221.76
2025-07-01,12,272160.0,78926.4
2025-08-01,1,273600.0,79344.0
2025-08-01,2,295200.0,85608.0
2025-08-01,3,316800.0,91872.0
2025-08-01,4,252000.0,73080.0
2025-08-01,5,273600.0,79344.0
2025-08-01,6,295200.0,85608.0
2025-08-01,7,316800.0,91872.0
2025-08-01,8,252000.0,73080.0
2025-08-01,9,273600.0,79344.0
2025-08-01,10,295200.0,85608.0
2025-08-01,11,316800.0,91872.0
2025-08-01,12,252000.0,73080.0
2025-09-01,1,273600.0,79344.0
2025-09-01,2,295200.0,85608.0
2025-09-01,3,316800.0,91872.0
2025-09-01,4,252000.0,73080.0
2025-09-01,5,273600.0,79344.0
2025-09-01,6,295200.0,85608.0
2025-09-01,7,316800.0,91872.0
2025-09-01,8,252000.0,73080.0
2025-09-01,9,273600.0,79344.0
2025-09-01,10,295200.0,85608.0
2025-09-01,11,316800.0,91872.0
2025-09-01,12,252000.0,73080.0
2025-10-01,1,273600.0,79344.0
2025-10-01,2,295200.0,85608.0
2025-10-01,3,316800.0,91872.0
2025-10-01,4,252000.0,73080.0
2025-10-01,5,273600.0,79344.0
2025-10-01,6,295200.0,85608.0
2025-10-01,7,316800.0,91872.0
2025-10-01,8,252000.0,73080.0
2025-10-01,9,273600.0,79344.0
2025-10-01,10,295200.0,85608.0
2025-10-01,11,316800.0,91872.0
2025-10-01,12,252000.0,73080.0
2025-11-01,1,322848.0,93625.92
2025-11-01,2,348336.0,101017.44
2025-11-01,3,373824.0,108408.96
2025-11-01,4,297360.0,86234.4
2025-11-01,5,322848.0,93625.92
2025-11-01,6,348336.0,101017.44
2025-11-01,7,373824.0,108408.96
2025-11-01,8,297360.0,86234.4
2025-11-01,9,322848.0,93625.92
2025-11-01,10,348336.0,101017.44
2025-11-01,11,373824.0,108408.96
2025-11-01,12,297360.0,86234.4
2025-12-01,1,322848.0,93625.92
2025-12-01,2,348336.0,101017.44
2025-12-01,3,373824.0,108408.96
2025-12-01,4,297360.0,86234.4
2025-12-01,5,322848.0,93625.92
2025-12-01,6,348336.0,101017.44
2025-12-01,7,373824.0,108408.96
2025-12-01,8,297360.0,86234.4
2025-12-01,9,322848.0,93625.92
2025-12-01,10,348336.0,101017.44
2025-12-01,11,373824.0,108408.96
2025-12-01,12,297360.0,86234.4
